canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Lady_Anne,1,1,['Lady Anne'],Female,Female,Unknown,0,0,0,Female
O,1,1,['O'],Unknown,Unknown,Unknown,0,0,0,Unknown
Darc,1,1,['Darc'],Unknown,Unknown,Unknown,0,0,0,Unknown
Miss_Pope,1,1,['Miss Pope'],Female,Female,Unknown,0,0,0,Female
Lady_Metcalfe,1,1,['Lady Metcalfe'],Female,Female,Unknown,0,0,0,Female
Miss_Webbs,1,1,['Miss Webbs'],Female,Female,Unknown,0,0,0,Female
Elizab,1,1,['Elizab'],Unknown,Unknown,Unknown,0,0,0,Unknown
James,1,1,['James'],Male,Male,Unknown,0,0,0,Male
Maria_Lucas,1,1,['Maria Lucas'],Female,Female,Unknown,0,0,0,Female
Hi,1,1,['Hi'],Unknown,Unknown,Unknown,0,0,0,Unknown
C,1,1,['C'],Unknown,Unknown,Unknown,0,0,0,Unknown
Fitzwilliam_Darcy,1,1,['Fitzwilliam Darcy'],Unknown,Unknown,Unknown,0,0,0,Unknown
Lodge,1,1,['Lodge'],Unknown,Unknown,Male,14,6,8,Male
Chamberlayne,1,1,['Chamberlayne'],Unknown,Unknown,Unknown,0,0,1,Unknown
St,1,1,['St'],Unknown,Unknown,Male,14,7,7,Male
Georgiana_Darcy,1,1,['Georgiana Darcy'],Female,Female,Unknown,0,0,0,Female
Caroline_Bingley,1,1,['Caroline Bingley'],Female,Female,Unknown,0,0,0,Female
Pray,1,1,['Pray'],Unknown,Unknown,Female,8,10,26,Female
Pen,1,1,['Pen'],Unknown,Unknown,Unknown,0,1,3,Unknown
Brighton,1,1,['Brighton'],Unknown,Unknown,Female,7,14,24,Female
Aunt,1,1,['aunt'],Unknown,Unknown,Female,56,107,86,Female
William_Goulding,1,1,['William Goulding'],Male,Male,Unknown,0,0,0,Male
Hertfordshire,1,1,['Hertfordshire'],Unknown,Unknown,Male,49,39,41,Male
Ben,1,1,['Ben'],Male,Male,Unknown,0,0,0,Male
Sarah,1,1,['Sarah'],Female,Female,Unknown,0,0,0,Female
Well,1,1,['Well'],Unknown,Unknown,Female,162,198,230,Female
Nichols,1,1,[' Nichols'],Unknown,Unknown,Female,0,2,1,Female
Street,1,1,['Street'],Unknown,Unknown,Male,17,14,19,Male
Younge,1,1,['Younge'],Unknown,Unknown,Female,8,9,4,Female
Edward_Street,1,1,['Edward Street'],Male,Male,Unknown,0,0,0,Male
Niece,1,1,['Niece'],Unknown,Unknown,Female,18,30,22,Female
Stone,1,1,['Stone'],Unknown,Unknown,Unknown,0,0,2,Unknown
Goulding,1,1,['Goulding'],Unknown,Unknown,Male,4,0,1,Male
B,1,1,['B'],Unknown,Unknown,Unknown,0,0,0,Unknown
E,1,1,['E'],Unknown,Unknown,Unknown,0,0,0,Unknown
Clapham,1,1,['Clapham'],Unknown,Unknown,Male,6,0,4,Male
Sally,1,1,['Sally'],Female,Female,Unknown,0,0,0,Female
Lydia_Wickham,1,1,['Lydia Wickham'],Female,Female,Unknown,0,0,0,Female
Green,1,1,['Green'],Unknown,Unknown,Male,2,0,3,Male
Forsters,1,1,['Forsters'],Unknown,Unknown,Unknown,0,1,1,Unknown
Fordyce,1,1,['Fordyce'],Unknown,Unknown,Unknown,1,0,2,Unknown
Lambton,1,1,['Lambton'],Unknown,Unknown,Female,1,14,10,Female
Dovedale,1,1,['Dovedale'],Unknown,Unknown,Female,0,5,2,Female
Woods,1,1,['Woods'],Unknown,Unknown,Female,4,10,7,Female
Richard,1,1,['Richard'],Male,Male,Unknown,0,0,0,Male
Hursts,1,1,['Hursts'],Unknown,Unknown,Unknown,0,0,1,Unknown
Westerham,1,1,['Westerham'],Unknown,Unknown,Unknown,0,0,1,Unknown
Scott,1,1,['Scott'],Unknown,Unknown,Unknown,0,0,1,Unknown
Meissonier,1,1,['Meissonier'],Unknown,Unknown,Unknown,1,0,1,Unknown
Memling,1,1,['Memling'],Unknown,Unknown,Unknown,1,0,1,Unknown
Goldwin_Smith,1,1,[' Goldwin Smith'],Unknown,Unknown,Unknown,0,0,0,Unknown
Musgrove,1,1,[' Musgrove'],Unknown,Unknown,Female,1,3,1,Female
Mentor,1,1,['Mentor'],Unknown,Unknown,Female,1,3,1,Female
Shapely,1,1,[' Shapely'],Unknown,Unknown,Female,1,3,1,Female
Addison,1,1,[' Addison'],Unknown,Unknown,Female,0,2,5,Female
Miss_Burney,1,1,['Miss Burney'],Female,Female,Unknown,0,0,0,Female
Smollett,1,1,['Smollett'],Unknown,Unknown,Unknown,0,1,1,Unknown
Spectator,1,1,[' Spectator'],Unknown,Unknown,Unknown,4,4,3,Unknown
John_Thorpe,1,1,['John Thorpe'],Male,Male,Unknown,0,0,0,Male
Jane_Fairfax,1,1,['Jane Fairfax'],Female,Female,Unknown,0,0,0,Female
Frank_Churchill,1,1,['Frank Churchill'],Male,Male,Unknown,0,0,0,Male
Rushworth,1,1,[' Rushworth'],Unknown,Unknown,Unknown,0,0,1,Unknown
Miss_Bates,1,1,['Miss Bates'],Female,Female,Unknown,0,0,0,Female
Norris,1,1,['Norris'],Unknown,Unknown,Male,2,1,2,Male
Edmund,1,1,['Edmund'],Male,Male,Unknown,0,0,0,Male
Walt_Whitman,1,1,['Walt Whitman'],Unknown,Unknown,Unknown,0,0,0,Unknown
George_Allen,1,1,['George Allen'],Male,Male,Unknown,0,0,0,Male
Hugh_Thomson_Ruskin,1,1,['Hugh Thomson Ruskin'],Male,Male,Unknown,0,0,0,Male
George_Saintsbury,1,1,['George Saintsbury'],Male,Male,Unknown,0,0,0,Male
Cosway,1,1,['Cosway'],Unknown,Unknown,Unknown,1,0,1,Unknown
Mary_Wollstonecraft,1,1,['Mary Wollstonecraft'],Female,Female,Unknown,0,0,0,Female
Nicholls,1,1,['Nicholls'],Unknown,Unknown,Male,2,1,1,Male
De_Maupassant,1,1,[' de Maupassant'],Unknown,Unknown,Unknown,0,0,0,Unknown
Miss_Grantley,1,1,['Miss Grantley'],Female,Female,Unknown,0,0,0,Female
Jane_Bennet,1,1,['Jane Bennet'],Female,Female,Unknown,0,0,0,Female
Jones,1,1,['Jones'],Unknown,Unknown,Female,3,10,5,Female
Clarke,1,1,['Clarke'],Unknown,Unknown,Unknown,0,1,1,Unknown
Miss_Watson,1,1,['Miss Watson'],Female,Female,Unknown,0,0,0,Female
G,1,1,['G'],Unknown,Unknown,Unknown,0,0,0,Unknown
Boulanger,1,1,['Boulanger'],Unknown,Unknown,Unknown,0,0,0,Unknown
Observing,1,1,['Observing'],Unknown,Unknown,Male,24,17,12,Male
Morris,1,1,[' Morris'],Male,Male,Unknown,0,0,0,Male
Diana,1,1,['Diana'],Female,Female,Unknown,0,0,0,Female
Grant,1,1,['Grant'],Unknown,Unknown,Unknown,0,0,1,Unknown
Argemone_Lavington,1,1,['Argemone Lavington'],Unknown,Unknown,Unknown,0,0,0,Unknown
Diana_Vernon,1,1,['Diana Vernon'],Female,Female,Unknown,0,0,0,Female
Henry,1,1,['Henry'],Male,Male,Unknown,0,0,0,Male
Don_Juanish,1,1,['Don Juanish'],Unknown,Unknown,Unknown,0,0,0,Unknown
Austen_Leigh,1,1,[' Austen Leigh'],Unknown,Unknown,Unknown,0,0,0,Unknown
Austen_Leigh,1,1,['Austen Leigh'],Unknown,Unknown,Unknown,0,0,0,Unknown
Bountiful,1,1,['Bountiful'],Unknown,Unknown,Unknown,0,0,1,Unknown
Lady_Powerful,1,1,['Lady Powerful'],Female,Female,Unknown,0,0,0,Female
Philistinism,1,1,['Philistinism'],Unknown,Unknown,Unknown,0,0,1,Unknown
John_Dashwood,1,1,['John Dashwood'],Male,Male,Unknown,0,0,0,Male
Catherin,1,1,['Catherin'],Unknown,Unknown,Unknown,0,0,0,Unknown
