canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender
Bay,1,1,['Bay'],Unknown,Unknown
Caffyn,1,1,['Caffyn'],Unknown,Unknown
Casabianca,1,1,['Casabianca'],Unknown,Unknown
Crescent,1,1,['Crescent'],Unknown,Unknown
S,1,1,['S'],Unknown,Unknown
F,1,1,['F'],Unknown,Unknown
Petrofsky,1,1,['Petrofsky'],Unknown,Unknown
Abramoff,1,1,['Abramoff'],Unknown,Unknown
Olgaren,1,1,['Olgaren'],Unknown,Unknown
Spohr,1,1,['Spohr'],Unknown,Unknown
Mackenzie,1,1,['Mackenzie'],Unknown,Unknown
Rose,1,1,['Rose'],Female,Female
Joy,1,1,['Joy'],Unknown,Unknown
Wilhelmina_Murray,1,1,['Wilhelmina Murray'],Unknown,Unknown
Jack_Sheppard,1,1,['Jack Sheppard'],Unknown,Unknown
Agatha,1,1,['Agatha'],Unknown,Unknown
Disraeli,1,1,['Disraeli'],Unknown,Unknown
Write,1,1,['Write'],Unknown,Unknown
Wire,1,1,['Wire'],Unknown,Unknown
Zoöphagous,1,1,['Zoöphagous'],Unknown,Unknown
Telegram,1,1,['Telegram'],Unknown,Unknown
Holmwood,1,1,['Holmwood'],Unknown,Unknown
Dame_Nature,1,1,['Dame Nature'],Female,Female
Madame,1,1,['Madame'],Female,Female
Love,1,1,['Love'],Unknown,Unknown
Vanderpool,1,1,['Vanderpool'],Unknown,Unknown
Ophelia,1,1,['Ophelia'],Unknown,Unknown
Thomas_Bilder,1,1,['Thomas Bilder'],Male,Male
Bilder,1,1,['Bilder'],Unknown,Unknown
Red_Riding_Hood,1,1,['Red Riding Hood'],Unknown,Unknown
Old_Bilder,1,1,['Old Bilder'],Unknown,Unknown
Patrick_Hennessey,1,1,['Patrick Hennessey'],Male,Male
Hardy,1,1,['Hardy'],Unknown,Unknown
Marquand,1,1,[' Marquand'],Unknown,Unknown
Paxt,1,1,['Paxt'],Unknown,Unknown
Green,1,1,['Green'],Unknown,Unknown
Viking,1,1,['Viking'],Unknown,Unknown
King,1,1,['King'],Unknown,Unknown
Ellen_Terry,1,1,['Ellen Terry'],Female,Female
John_Seward,1,1,[' John Seward'],Male,Male
Holland,1,1,['Holland'],Unknown,Unknown
Mary,1,1,['Mary'],Female,Female
Finis,1,1,['Finis'],Unknown,Unknown
Charcot,1,1,['Charcot'],Unknown,Unknown
Methuselah,1,1,['Methuselah'],Unknown,Unknown
Old,1,1,['Old'],Unknown,Unknown
Parr,1,1,['Parr'],Unknown,Unknown
Byron,1,1,['Byron'],Unknown,Unknown
Vincent,1,1,[' Vincent'],Male,Male
Scott,1,1,['Scott'],Unknown,Unknown
Medusa,1,1,['Medusa'],Unknown,Unknown
Almighty_God,1,1,['Almighty God'],Unknown,Unknown
Goodness,1,1,['Goodness'],Unknown,Unknown
Hennessey,1,1,[' Hennessey'],Unknown,Unknown
Draculas,1,1,['Draculas'],Unknown,Unknown
Windham,1,1,['Windham'],Unknown,Unknown
Derby,1,1,['Derby'],Unknown,Unknown
Union,1,1,['Union'],Unknown,Unknown
Domine,1,1,['Domine'],Unknown,Unknown
Thomas_Snelling,1,1,['Thomas Snelling'],Male,Male
Joseph_Smollet,1,1,[' Joseph Smollet'],Male,Male
Bloxam,1,1,['Bloxam'],Unknown,Unknown
Korkrans,1,1,['Korkrans'],Unknown,Unknown
Poters_Cort,1,1,['Poters Cort'],Unknown,Unknown
Arsk,1,1,['Arsk'],Unknown,Unknown
Bloxam,1,1,[' Bloxam'],Unknown,Unknown
Malvolio,1,1,['Malvolio'],Unknown,Unknown
Lordship,1,1,['Lordship'],Unknown,Unknown
Simmons,1,1,['Simmons'],Unknown,Unknown
Acherontia,1,1,['Acherontia'],Unknown,Unknown
Moon,1,1,['Moon'],Unknown,Unknown
Harkers,1,1,['Harkers'],Unknown,Unknown
Dead,1,1,['Dead'],Unknown,Unknown
Friend_Quincey,1,1,['Friend Quincey'],Unknown,Unknown
Arminus,1,1,['Arminus'],Unknown,Unknown
Tally_Ho,1,1,['Tally Ho'],Unknown,Unknown
Doolittle,1,1,['Doolittle'],Unknown,Unknown
Ristics,1,1,['Ristics'],Unknown,Unknown
Angel,1,1,['Angel'],Unknown,Unknown
Judge_Moneybag,1,1,['Judge Moneybag'],Unknown,Unknown
Dardanelles,1,1,['Dardanelles'],Unknown,Unknown
Lloyd,1,1,['Lloyd'],Unknown,Unknown
Rufus_Smith,1,1,['Rufus Smith'],Unknown,Unknown
Kukri,1,1,['Kukri'],Unknown,Unknown
Exeter,1,1,['Exeter'],Unknown,Unknown
Morris_Quincey,1,1,['Morris Quincey'],Male,Male
Hans,1,1,['Hans'],Unknown,Unknown
Archimedes,1,1,['Archimedes'],Unknown,Unknown
Nordau,1,1,['Nordau'],Unknown,Unknown
Lombroso,1,1,['Lombroso'],Unknown,Unknown
Cattle,1,1,['Cattle'],Unknown,Unknown
Me,1,1,['Me'],Unknown,Unknown
De_Ville,1,1,[' de Ville'],Unknown,Unknown
Petrof,1,1,['Petrof'],Unknown,Unknown
Hildes,1,1,['Hildes'],Unknown,Unknown
Bistritza,1,1,['Bistritza'],Unknown,Unknown
