canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Mary,1,1,['Mary'],Female,Female,Unknown,0,0,0,Female
Holland,1,1,['Holland'],Unknown,Unknown,Male,2,0,1,Male
John_Seward,1,1,[' John Seward'],Male,Male,Unknown,0,0,0,Male
Ellen_Terry,1,1,['Ellen Terry'],Female,Female,Unknown,0,0,0,Female
King,1,1,['King'],Unknown,Unknown,Male,18,0,16,Male
Viking,1,1,['Viking'],Unknown,Unknown,Male,2,0,1,Male
Arsk,1,1,['Arsk'],Unknown,Unknown,Male,3,0,5,Male
Dead,1,1,['Dead'],Unknown,Unknown,Male,96,59,109,Male
Malvolio,1,1,['Malvolio'],Unknown,Unknown,Male,2,0,1,Male
Lordship,1,1,['Lordship'],Unknown,Unknown,Male,7,0,9,Male
Paxt,1,1,['Paxt'],Unknown,Unknown,Unknown,0,0,0,Unknown
Hildes,1,1,['Hildes'],Unknown,Unknown,Unknown,0,0,0,Unknown
Petrof,1,1,['Petrof'],Unknown,Unknown,Unknown,1,0,2,Unknown
De_Ville,1,1,[' de Ville'],Unknown,Unknown,Unknown,0,0,0,Unknown
Me,1,1,['Me'],Unknown,Unknown,Male,909,334,1455,Male
Cattle,1,1,['Cattle'],Unknown,Unknown,Unknown,0,0,2,Unknown
Lombroso,1,1,['Lombroso'],Unknown,Unknown,Male,2,0,1,Male
Nordau,1,1,['Nordau'],Unknown,Unknown,Male,2,0,1,Male
Archimedes,1,1,['Archimedes'],Unknown,Unknown,Unknown,0,0,1,Unknown
Hans,1,1,['Hans'],Unknown,Unknown,Male,2,0,1,Male
Morris_Quincey,1,1,['Morris Quincey'],Male,Male,Unknown,0,0,0,Male
Exeter,1,1,['Exeter'],Unknown,Unknown,Male,20,3,17,Male
Kukri,1,1,['Kukri'],Unknown,Unknown,Male,13,1,5,Male
Rufus_Smith,1,1,['Rufus Smith'],Unknown,Unknown,Unknown,0,0,0,Unknown
Lloyd,1,1,['Lloyd'],Unknown,Unknown,Male,2,0,4,Male
Dardanelles,1,1,['Dardanelles'],Unknown,Unknown,Unknown,0,1,5,Unknown
Judge_Moneybag,1,1,['Judge Moneybag'],Unknown,Unknown,Unknown,0,0,0,Unknown
Angel,1,1,['Angel'],Unknown,Unknown,Female,1,3,5,Female
Ristics,1,1,['Ristics'],Unknown,Unknown,Male,2,0,1,Male
Doolittle,1,1,['Doolittle'],Unknown,Unknown,Female,0,2,2,Female
Tally_Ho,1,1,['Tally Ho'],Unknown,Unknown,Unknown,0,0,0,Unknown
Arminus,1,1,['Arminus'],Unknown,Unknown,Unknown,1,0,1,Unknown
Friend_Quincey,1,1,['Friend Quincey'],Unknown,Unknown,Unknown,0,0,0,Unknown
Harkers,1,1,['Harkers'],Unknown,Unknown,Male,2,0,2,Male
Moon,1,1,['Moon'],Unknown,Unknown,Male,6,1,11,Male
Acherontia,1,1,['Acherontia'],Unknown,Unknown,Unknown,0,0,0,Unknown
Simmons,1,1,['Simmons'],Unknown,Unknown,Unknown,0,0,1,Unknown
Green,1,1,['Green'],Unknown,Unknown,Male,10,2,20,Male
Sir_Oracle,1,1,['Sir Oracle'],Male,Male,Unknown,0,0,0,Male
Marquand,1,1,[' Marquand'],Unknown,Unknown,Unknown,0,0,2,Unknown
Casabianca,1,1,['Casabianca'],Unknown,Unknown,Male,2,0,1,Male
Bay,1,1,['Bay'],Unknown,Unknown,Male,4,2,7,Male
Hood,1,1,['Hood'],Unknown,Unknown,Female,0,3,5,Female
Robin,1,1,['Robin'],Unknown,Unknown,Female,0,2,4,Female
Woods,1,1,['Woods'],Unknown,Unknown,Unknown,0,1,5,Unknown
Burdon,1,1,['Burdon'],Unknown,Unknown,Unknown,0,0,1,Unknown
Geordie,1,1,['Geordie'],Unknown,Unknown,Male,2,0,3,Male
Gabriel,1,1,['Gabriel'],Male,Male,Unknown,0,0,0,Male
George_Canon,1,1,['George Canon'],Male,Male,Unknown,0,0,0,Male
Judgment,1,1,['Judgment'],Unknown,Unknown,Male,5,0,6,Male
John_Rawlings,1,1,['John Rawlings'],Male,Male,Unknown,0,0,0,Male
Andrew_Woodhouse,1,1,['Andrew Woodhouse'],Male,Male,Unknown,0,0,0,Male
Braithwaite_Lowrey,1,1,['Braithwaite Lowrey'],Unknown,Unknown,Unknown,0,0,0,Unknown
Spencelagh,1,1,['Spencelagh'],Unknown,Unknown,Unknown,0,0,1,Unknown
Edward,1,1,['Edward'],Male,Male,Unknown,0,0,0,Male
