canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender
—,1,1,[' —'],Unknown,Unknown
Depend,1,1,['Depend'],Unknown,Unknown
Harry,1,1,['Harry'],Male,Male
Madame_De_Genlis,1,1,['Madame de Genlis'],Female,Female
Theodore,1,1,['Theodore'],Male,Male
Nature,1,1,['Nature'],Unknown,Unknown
Anna_Weston,1,1,['Anna Weston'],Female,Female
K,1,1,['K'],Unknown,Unknown
N,1,1,['N'],Unknown,Unknown
Good,1,1,['Good'],Unknown,Unknown
John_—,1,1,['John —'],Male,Male
Astley,1,1,['Astley'],Unknown,Unknown
Pilfering,1,1,['Pilfering'],Unknown,Unknown
Robert_Martin,1,1,[' Robert Martin'],Male,Male
