canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Perrys,2,1,['Perrys'],Unknown,Unknown,Female,0,4,3,Female
Compare,2,1,['Compare'],Unknown,Unknown,Male,8,3,6,Male
Bond,2,1,['Bond'],Unknown,Unknown,Male,3,0,3,Male
Kitty,2,1,['Kitty'],Female,Female,Unknown,0,0,0,Female
Miss_—_—_—,2,2,"['Miss — — —', '— — —']",Female,Female,Unknown,0,0,0,Female
Hannah,2,1,['Hannah'],Female,Female,Unknown,0,0,0,Female
Knight,2,1,['Knight'],Unknown,Unknown,Female,0,5,1,Female
Hetty,2,1,['Hetty'],Unknown,Unknown,Female,0,7,2,Female
Bath,2,1,['Bath'],Unknown,Unknown,Male,18,13,20,Male
Green,2,2,"[' Green', 'Green']",Unknown,Unknown,Male,3,1,1,Male
William_Coxe,2,1,['William Coxe'],Male,Male,Unknown,0,0,0,Male
Cox,2,1,[' Cox'],Unknown,Unknown,Female,8,12,8,Female
Fai,1,1,['Fai'],Unknown,Unknown,Unknown,0,0,0,Unknown
Aladdin,1,1,['Aladdin'],Unknown,Unknown,Unknown,0,0,1,Unknown
Bought,1,1,['Bought'],Unknown,Unknown,Male,7,0,4,Male
Caroline,1,1,['Caroline'],Female,Female,Unknown,0,0,0,Female
Arthur,1,1,['Arthur'],Male,Male,Unknown,0,0,0,Male
Don,1,1,['Don'],Unknown,Unknown,Female,3,10,16,Female
Tea,1,1,['Tea'],Unknown,Unknown,Female,15,20,27,Female
Grandmama,1,1,['Grandmama'],Unknown,Unknown,Female,0,13,13,Female
George_Otway,1,1,[' George Otway'],Male,Male,Unknown,0,0,0,Male
Em,1,1,['Em'],Unknown,Unknown,Unknown,0,0,1,Unknown
June,1,1,['June'],Unknown,Unknown,Male,2,0,7,Male
Uncle_Knightley,1,1,['Uncle Knightley'],Unknown,Unknown,Unknown,0,0,0,Unknown
General,1,1,['General'],Unknown,Unknown,Female,85,94,65,Female
Well,1,1,['Well'],Unknown,Unknown,Female,249,414,401,Female
Aunt_Emma,1,1,['Aunt Emma'],Unknown,Unknown,Unknown,0,0,0,Unknown
Tupmans,1,1,['Tupmans'],Unknown,Unknown,Unknown,0,0,1,Unknown
Tupman,1,1,['Tupman'],Unknown,Unknown,Unknown,0,0,1,Unknown
Hymen,1,1,['Hymen'],Unknown,Unknown,Male,3,0,1,Male
Clifton,1,1,['Clifton'],Unknown,Unknown,Unknown,0,1,1,Unknown
Anne,1,1,['Anne'],Female,Female,Unknown,0,0,0,Female
P,1,1,['P'],Unknown,Unknown,Unknown,0,0,0,Unknown
Liable,1,1,['Liable'],Unknown,Unknown,Female,6,14,6,Female
Elto,1,1,['Elto'],Unknown,Unknown,Unknown,0,0,0,Unknown
Decidedly,1,1,['Decidedly'],Unknown,Unknown,Male,18,17,13,Male
James_Cooper,1,1,[' James Cooper'],Male,Male,Unknown,0,0,0,Male
Bird,1,1,[' Bird'],Unknown,Unknown,Unknown,0,0,1,Unknown
Cowper,1,1,['Cowper'],Unknown,Unknown,Male,6,0,1,Male
Tom,1,1,['Tom'],Male,Male,Unknown,0,0,0,Male
Lady_Patroness,1,1,['Lady Patroness'],Female,Female,Unknown,0,0,0,Female
—,1,1,[' —'],Unknown,Unknown,Female,790,1134,1339,Female
Pilfering,1,1,['Pilfering'],Unknown,Unknown,Male,3,0,1,Male
Astley,1,1,['Astley'],Unknown,Unknown,Female,7,8,4,Female
John_—,1,1,['John —'],Male,Male,Unknown,0,0,0,Male
Good,1,1,['Good'],Unknown,Unknown,Female,280,385,359,Female
N,1,1,['N'],Unknown,Unknown,Unknown,0,0,0,Unknown
K,1,1,['K'],Unknown,Unknown,Unknown,0,0,0,Unknown
Anna_Weston,1,1,['Anna Weston'],Female,Female,Unknown,0,0,0,Female
Nature,1,1,['Nature'],Unknown,Unknown,Female,49,73,41,Female
Theodore,1,1,['Theodore'],Male,Male,Unknown,0,0,0,Male
Madame_De_Genlis,1,1,['Madame de Genlis'],Female,Female,Unknown,0,0,0,Female
Harry,1,1,['Harry'],Male,Male,Unknown,0,0,0,Male
Depend,1,1,['Depend'],Unknown,Unknown,Male,24,23,26,Male
Hill,1,1,['Hill'],Unknown,Unknown,Female,7,25,22,Female
Mickleham,1,1,['Mickleham'],Unknown,Unknown,Unknown,0,0,1,Unknown
Miss_F_—,1,1,['Miss F —'],Female,Female,Unknown,0,0,0,Female
Square,1,1,['Square'],Unknown,Unknown,Female,9,47,12,Female
Brunswick,1,1,['Brunswick'],Unknown,Unknown,Female,9,44,11,Female
Hartfie,1,1,['Hartfie'],Unknown,Unknown,Unknown,0,0,0,Unknown
Coles,1,1,[' Coles'],Unknown,Unknown,Female,3,13,17,Female
Perrys,1,1,[' Perrys'],Unknown,Unknown,Female,0,4,3,Female
Goldsmith,1,1,['Goldsmith'],Unknown,Unknown,Female,0,2,1,Female
Clara_Partridge,1,1,['Clara Partridge'],Female,Female,Unknown,0,0,0,Female
John_Abdy,1,1,['John Abdy'],Male,Male,Unknown,0,0,0,Male
Maple_Grove,1,1,['Maple Grove'],Unknown,Unknown,Unknown,0,0,0,Unknown
Chaperon,1,1,['Chaperon'],Unknown,Unknown,Unknown,0,0,0,Unknown
Dorking,1,1,['Dorking'],Unknown,Unknown,Unknown,0,0,1,Unknown
Milmans,1,1,['Milmans'],Unknown,Unknown,Unknown,0,0,1,Unknown
Gilberts,1,1,['Gilberts'],Unknown,Unknown,Unknown,0,0,1,Unknown
Jeffereys,1,1,[' Jeffereys'],Unknown,Unknown,Unknown,0,0,1,Unknown
Surry,1,1,['Surry'],Unknown,Unknown,Female,3,6,9,Female
Woodhous,1,1,['Woodhous'],Unknown,Unknown,Unknown,0,0,0,Unknown
Sighs,1,1,['Sighs'],Unknown,Unknown,Unknown,0,1,1,Unknown
Charming,1,1,['Charming'],Unknown,Unknown,Female,19,41,32,Female
Braithwaites,1,1,['Braithwaites'],Unknown,Unknown,Unknown,0,0,1,Unknown
Graham,1,1,[' Graham'],Unknown,Unknown,Unknown,1,0,1,Unknown
Wingfield,1,1,['Wingfield'],Unknown,Unknown,Female,7,16,10,Female
Weston_Churchill,1,1,['Weston Churchill'],Unknown,Unknown,Unknown,0,0,0,Unknown
C,1,1,['C'],Unknown,Unknown,Unknown,0,0,0,Unknown
F,1,1,['F'],Unknown,Unknown,Unknown,0,0,0,Unknown
Westons,1,1,[' Westons'],Unknown,Unknown,Female,5,13,8,Female
Garrick,1,1,['Garrick'],Unknown,Unknown,Unknown,0,0,1,Unknown
Church,1,1,['Church'],Unknown,Unknown,Female,3,8,7,Female
Michaelmas,1,1,['Michaelmas'],Unknown,Unknown,Male,2,0,1,Male
Shakespeare,1,1,['Shakespeare'],Unknown,Unknown,Unknown,0,0,1,Unknown
Miss_Smiths,1,1,['Miss Smiths'],Female,Female,Unknown,0,0,0,Female
Neptune,1,1,['Neptune'],Unknown,Unknown,Unknown,0,0,1,Unknown
Miss_—_—,1,1,['Miss — —'],Female,Female,Unknown,0,0,0,Female
Nobody,1,1,['Nobody'],Unknown,Unknown,Female,38,67,73,Female
Vicar,1,1,['Vicar'],Unknown,Unknown,Unknown,1,0,3,Unknown
Miss_Richardson,1,1,['Miss Richardson'],Female,Female,Unknown,0,0,0,Female
Miss_Prince,1,1,['Miss Prince'],Female,Female,Unknown,0,0,0,Female
Quick,1,1,['Quick'],Unknown,Unknown,Female,25,50,23,Female
Iii,1,1,['III'],Unknown,Unknown,Male,4,3,8,Male
Mitchell,1,1,['Mitchell'],Unknown,Unknown,Male,2,0,1,Male
Jane_Austen,1,1,['Jane Austen'],Female,Female,Unknown,0,0,0,Female
Miss_Somebody_Else,1,1,['Miss Somebody else'],Female,Female,Unknown,0,0,0,Female
Baly,1,1,['Baly'],Unknown,Unknown,Female,0,7,1,Female
Suckling,1,1,['Suckling'],Unknown,Unknown,Female,2,5,14,Female
He,1,1,['He'],Unknown,Unknown,Male,2735,980,1806,Male
Alas,1,1,['Alas'],Unknown,Unknown,Female,0,8,4,Female
Stokes,1,1,['Stokes'],Unknown,Unknown,Unknown,1,1,4,Unknown
Miss_Emma,1,1,['Miss Emma'],Female,Female,Unknown,0,0,0,Female
Taylor,1,1,[' Taylor'],Unknown,Unknown,Female,31,59,48,Female
Adair,1,1,['Adair'],Unknown,Unknown,Unknown,0,0,0,Unknown
Robin,1,1,['Robin'],Unknown,Unknown,Unknown,0,0,0,Unknown
Cramer,1,1,['Cramer'],Unknown,Unknown,Unknown,0,0,1,Unknown
Pray,1,1,['Pray'],Unknown,Unknown,Female,2,8,26,Female
Wallis,1,1,['Wallis'],Unknown,Unknown,Unknown,0,1,3,Unknown
Wallises,1,1,['Wallises'],Unknown,Unknown,Unknown,0,1,1,Unknown
John_Saunders,1,1,['John Saunders'],Male,Male,Unknown,0,0,0,Male
Yes,1,1,['Yes'],Unknown,Unknown,Male,55,53,125,Male
Surprizes,1,1,['Surprizes'],Unknown,Unknown,Unknown,0,0,2,Unknown
A,1,1,['A'],Unknown,Unknown,Unknown,0,0,0,Unknown
—_Highbury,1,1,['— Highbury'],Unknown,Unknown,Unknown,0,0,0,Unknown
Barnes,1,1,['Barnes'],Unknown,Unknown,Unknown,0,0,1,Unknown
Elegant,1,1,['Elegant'],Unknown,Unknown,Female,12,32,25,Female
Balls,1,1,['Balls'],Unknown,Unknown,Male,2,1,5,Male
Philip_Elton,1,1,['Philip Elton'],Male,Male,Unknown,0,0,0,Male
Brown,1,1,[' Brown'],Unknown,Unknown,Male,3,1,1,Male
Brown,1,1,['Brown'],Unknown,Unknown,Male,3,1,1,Male
Augusta_Hawkins,1,1,['Augusta Hawkins'],Female,Female,Unknown,0,0,0,Female
Miss_Jane_Bates,1,1,['Miss Jane Bates'],Female,Female,Unknown,0,0,0,Female
Fairfax,1,1,[' Fairfax'],Unknown,Unknown,Female,141,313,241,Female
Lieut,1,1,['Lieut'],Unknown,Unknown,Unknown,0,0,1,Unknown
Robert_Martin,1,1,[' Robert Martin'],Male,Male,Unknown,0,0,0,Male
